company_name,company_number
ONE PLUS MANY LTD,14569772
GLOBAL ONLINE ENTERPRISE LIMITED,6923062
CAMELOT UK LOTTERIES LIMITED,2822203
MEGA LEISURE (SHAWLANDS) LIMITED,SC257606
LANGTHORNES ENTERTAINMENT LTD,14903961
POULTER & BOOTH LIMITED,5148798
CM COMPETITIONS N.I. LTD,NI669641
MCBOOKIE LTD,SC345491
WILLIAM HILL LIMITED,4212563
GTOTE LIMITED,10789192
BEIRNE RACING LIMITED,NI695984
TTL RACING LIMITED,5753961
BRAGBET LIMITED,NI618615
TOTE COURSE LIMITED,660541
LORDSDALE ESTATES LIMITED,2130018
CAMPBELLS (BOOKMAKERS) LIMITED,705834
WILLIAM HILL (SCOTLAND) LIMITED,SC026918
SSF COMPETITIONS LTD,SC662476
RAFFLE ROYALE LTD,15776133
REUBEN PAGE LIMITED,2511982
HAY BINGO LIMITED,10362135
LAZTEX LIMITED,7074768
BET LIMITED,9486225
INFLIGHT GAMBLING LTD,12250192
THE PURPLE GAMING COMPANY LIMITED,SC364910
RAFFLES RICHES LIMITED,15637295
GOLDEN TICKET ONLINE SERVICES LTD,15663245
REDK CONSULTANCY LTD,15680812
BLACKSMITH GAMING LTD,15690490
CUTLER ENTERPRISES LIMITED,15698405
ONECHANCE LTD,15360997
DIGITIPS LTD,15361055
BETTRADE ANALYTICS LIMITED,15362450
COMMUNITY BLOOM LTD,15572166
SA GAMING CORP LTD,15363851
WIS GAMES LTD,15378094
KINDESS CORP LTD,SC796892
DECENTRATECH LTD,15481727
THE BEAUTY LOTTERY LTD,15490802
BRADFORD & SONS BOOKMAKERS LTD,15248175
WAGERWARE LTD,15202073
SIS INTERNATIONAL LIMITED,15229004
LOTTOWEB LIMITED,3250063
MARK JARVIS LIMITED,797188
UPREDICT LIMITED,12836319
BETFRED LIMITED,4815730
CHOICEBET (UK) LIMITED,8543948
PREMIO PRIZE LIMITED,15743276
THE VAULT GAMES LTD,15739929
C4 COMPETITIONS LTD,15741185
GOLDEN PRIZES LTD,15739062
STAN SOMERS (RACING) LIMITED,3778465
B3T GAMING LTD,NI617499
SANDANCER LEISURE LTD,6060855
ESCOBETS LIMITED,12026740
BROWN LEISURE LIMITED,3752037
COSMOS TECHNOLOGY AND INVESTMENT LTD,15750264
PREMIER PICKS LIMITED,12130862
SOLOGATE LIMITED,1735866
REEL TO REEL LIMITED,9143236
OAK AMUSEMENTS LIMITED,1664386
CORRU.PT LTD,12899765
DLG LEISURE LIMITED,9186748
VGC LEEDS LIMITED,9098468
KALOOKI SPORTSBOOK LIMITED,12938274
GAMING BUSINESS DEVELOPMENT LTD,2617337
HORIZONS LEISURE LIMITED,1794381
MDS LEISURE (CORNWALL) LIMITED,9639129
WILLIAM HILL (WESTERN) LIMITED,336043
SCOREGEOUS LIMITED,9216168
WILLIAM HILL (LONDON) LIMITED,1278867
BROOKE BOOKMAKERS LIMITED,3205108
TIGERPLAY LTD,14901086
PAT WHELAN (RACING) LIMITED,3869464
BL4K AMUSEMENTS LIMITED,12494129
WILLIAM HILL (MIDLANDS) LIMITED,531785
T.H.JENNINGS(HARLOW POOLS)LIMITED,701499
R. & F. WILMOT LTD.,SC262419
TOUCH AND WIN LTD,4010645
WILLIAM HILL (CALEDONIAN) LIMITED,SC039934
WILLIAM HILL (ALBA) LIMITED,SC046349
PERTH RACECOURSE LIMITED,SC744882
BORDER BINGO CLUBS LIMITED,SC197205
J & S BINGO LIMITED,SC477963
ELECTROCOIN LEISURE (S. WALES) LIMITED,1557059
LOTTONET LIMITED,3212901
HATFUL OF HOLLOW TS LIMITED,13247139
BETWITHFRIENDS LTD,13338161
WYNN PROMOTIONS LTD,NI677669
MBK CLIENT LIMITED,13225943
LOST LEISURE LIMITED,5654989
