company_name,company_number
S.P. GRAHAM LIMITED,NI009702
CENTRAL BOOKMAKERS LIMITED,NI013596
TELCO TRADING LIMITED,NI017362
TOALS BOOKMAKERS,NI033873
CAM AMUSEMENT LIMITED,NI072180
ANGAR LIMITED,NI617938
SINGLEVERSE LIMITED,12386156
ONE TIME GAMING LTD,12593825
ITS ONE OF OUR OWN LIMITED,10051187
ASSURED GAMING LIMITED,10267238
KALOOKI RACING LTD,10731050
MAKE A SMILE LOTTERY LTD,10766472
DICAX LTD,11870966
FLUTTERS BINGO LIMITED,10703753
WOFFER LTD,10089642
CROWN HOLDINGS INTERNATIONAL LTD,11977696
STM LEISURE LIMITED,5105781
WINNERS GAMING LIMITED,4683724
FAMILY LEISURE HOLDINGS LIMITED,3585991
MAINE AMUSEMENTS LIMITED,3746875
THE RACECOURSE PITCHES LIMITED,9136708
UKAUTOMATICS LIMITED,9155621
JOE JENNINGS (HARLOW) LIMITED,8299514
PB RUNNER LTD,7566232
BURY HOSPICE TRADING LIMITED,2786522
SANDSIDE ASSOCIATES LIMITED,2904766
OLDLAND LEISURE LIMITED,2019706
MECCA BINGO LIMITED,1854120
MILLERS AMUSEMENTS LIMITED,2193074
CORBETT BOOKMAKERS LIMITED,998813
SUMMIT LEISURE (MARKET STREET) LIMITED,2580836
SUMMIT LEISURE (CLAYTON) LIMITED,2580840
FAMILY FUN CENTRE LIMITED,2709502
WEST COAST AMUSEMENTS LIMITED,366876
D. LATHAM LIMITED,665439
PLAYLAND HOLDINGS LIMITED,721684
SUMMERTIME AUTOMATICS LIMITED,876956
GROSVENOR CASINOS LIMITED,877080
ARBSHARK LIMITED,9515116
JAMES JOHN LOVELL LTD,9382223
TV2U GAMING LIMITED,9385495
YOUR HOSPICE LOTTERY LTD,8483098
E-CLICK LTD,8483903
LEIGH AUTOMATICS LTD,8497719
2IYF LIMITED,8412831
PETER EASTWOOD BOOKMAKERS LIMITED,5394632
BETTING SHOP SERVICES LIMITED,5310821
JENNINGS RACING LIMITED,5726089
JENNINGS RACING (2006) LIMITED,5739391
SUN ORBIT AMUSEMENTS LIMITED,6157271
GLYN JONES RACING LIMITED,3692250
GAMING INVEST UK LTD,7559392
GFB RACING LIMITED,7205182
FRIENDS OF THE NW AIR AMBULANCE LOTTERY COMMUNITY INTEREST COMPANY,6646759
PASTIMES (HORNSEA) LIMITED,835633
PLAZA LEISURE LIMITED,906787
ESSEX & HERTS FLIGHT FOR LIFE LOTTERY LIMITED,4269794
POSTCODE GLOBAL TRUST,SC449876
TB GAMING LIMITED,14320843
BETEXTRA LIMITED,7348875
FUNTOMIC LIMITED,10364906
SPRINGHILL HOSPICE (LOTTERY) LIMITED,3310929
HOSPICE OF THE GOOD SHEPHERD PROMOTIONS LIMITED,3350371
EURODUTY LIMITED,3475655
RICEPARK RACING LIMITED,11511654
RANK LEISURE LIMITED,3417930
MAYFLOWER GAMING LTD,11987056
4X4 COMPETITIONS LTD,15667556
DEESIDE BOOKMAKERS LTD.,SC248536
LOVE 2 CELEBRATE LIMITED,6530389
NTK LEISURE LIMITED,NI033986
MR P'S CLASSIC AMUSEMENTS LIMITED,8181015
QUIDBID LTD.,10113464
WIZARD TIPSTER LTD,15172549
SHIV PARIVAR LTD,15579886
AEADANIS LTD,15585997
PAWSOME COMPETITIONS LIMITED,15601682
SCOREFAM UK LIMITED,15611887
EXCLUSIVE COMPETITIONS LTD,15619201
ALLARTPASSION LTD,15623552
BEAUTIFUL COMPS LTD,15624592
PLAY AND BE TRUE. LTD,15369826
TICILUX LTD,15380353
GRAHAM JONES (COURSE) LIMITED,15385240
THE BETTING BEE LIMITED,15386775
BEYOND PLUS LTD,15391110
POT SPORTS LTD,15395136
MY BETTER LTD,15405893
THE ALERTS (AFFECTED LIVED EXPERIENCE RESEARCH TREATMENT SUPPORT) GROUP CIC,15411029
VIVO-GAMBLING LTD,15423173
REGPLUG COMPETITIONS LTD,SC806677
10K NETWORK LTD,15662903
GAMING CLUB LTD,15670628
GRAHAM J. THORPE LTD,6650987
SNAZZY SNAFFLES LIMITED,15636389
CONTEST CRAZY COMPETITIONS LTD,15646751
ANGEL RAFFLES LTD,15649485
DIPITY VENTURES LTD,15656290
GAMESTAR LEISURE LTD,10944817
PLAYING THE GAME LIMITED,7174339
SUMBET LTD,SC537464
LECHJOKE LTD,12905408
BAXTER E-SERVICES LIMITED,5899117
LIVINGORNOT LTD,15742397
H.H.REEVES(WILTON)LIMITED,963789
GEM AUTOMATICS LIMITED,2563357
BETRESCUE LIMITED,4795025
HIGH FORCE LEISURE (NEWTON AYCLIFFE) LIMITED,12886673
KEN JOYNES & SON LTD,5124623
SPOTLIGHT ONLINE GAMING LTD,7063458
MCCABE & SMYTH BOOKMAKERS LTD,NI688789
BLACK CARD COMMUNITY LOTTERY,12731169
HARD ROCK CC LONDON LIMITED,10856518
VEGAS BETTING LIMITED,4481263
METRIC GAMING (UK) LIMITED,10287606
BITB CASH LTD,SC673038
J.E.M. LEISURE LIMITED,2025810
HESLEY MEDIA LTD,10260284
M8 SOCIAL LTD,14195165
TPOOLCO LIMITED,11300296
POLICY GAMING GROUP LTD,15407126
ROWLAND AND ROWLAND LIMITED,338383
THORNHILL DUNBAR LIMITED,12201919
TLC LOTTERIES LIMITED,3186938
COMPASS ENTERTAINMENT LTD,5058093
M.S. ENTERTAINMENTS LIMITED,1757589
NETWORK FANTASY HOLDINGS LIMITED,11759932
D.P. LEISURE LIMITED,2607518
CLIFTON BINGO CLUB LIMITED,316849
ISLAND ENTERTAINMENTS LIMITED,6715911
RACE TO RICHES LTD,15007671
LADBROKES CORAL GROUP PENSION TRUSTEE LIMITED,6578573
IBET GLOBAL LTD,11247615
GB SPORTS ADVISORS LIMITED,11612034
ONLY FAN STANDING LIMITED,10794722
VSERV GROUP LIMITED,7649200
WON FOR ALL COMPETITIONS LTD,14889803
PUNTERS LOUNGE LTD,5189893
SJS LEISURE LIMITED,10797273
BERKSHIRE ANALYTICS LTD,11056686
GH ON COURSE LTD,NI612948
CORCRAIN ENTERPRISES LIMITED,NI019117
BETFRED INTERNATIONAL HOLDINGS LIMITED,11383525
OSSIE MILLER LIMITED,9022395
REFRESH GAMING LIMITED,10932792
THE BOLLOM ORGANISATION LIMITED,7083978
VALUABLE TIME LTD,15738238
PARTHENON INVESTMENTS LTD,7230269
RAFFLEABLE LTD,13439672
BETTING SITES LTD,10315425
LUSH GAMING CONSULTANCY LIMITED,11512452
WILLIAM HILL (EFFECTS) LIMITED,3972501
WINDELL LEISURE AND ENTERTAINMENTS LIMITED,NI030864
CLARK RACING (NORTHERN) LIMITED,2515761
LIONHEART ENTERTAINMENT LIMITED,15741563
VOLLTREFFER BET FUN LTD,7388933
QUALITY AMUSEMENTS LIMITED,3347772
ML ADVENTURES LIMITED,12798682
BETFEED LTD,15754194
NATIONAL GAMING MACHINES LTD,13593164
THE PLAYERS CLUB UK LIMITED,5774782
ASPERS (STRATFORD CITY) LIMITED,7246090
ALPHABET SPORTS LIMITED,7884978
ASPERS (MILTON KEYNES) LIMITED,4498928
CASINO DEVELOPMENTS LIMITED,4917875
PETER SUTTON ON COURSE LTD,11256429
T33 GAMING LTD,12534396
VICTORIAN GENTLEMAN'S CLUB LTD,12940822
POWER LEISURE BOOKMAKERS LIMITED,3822566
BIG BIDZ COMPETITIONS LTD,12965974
C P B MACHINES LIMITED,4920033
WYCOMBE COIN LIMITED,1474326
SLOTS TRADING LTD,12886148
ACCUMULATOR APP LTD,14225709
MAURICE CHARGE LIMITED,5669624
BONANZA LEISURE LIMITED,6967470
SHOWMANS (EAST LONDON) LTD,14492507
GAME WORLD LIMITED,2717352
SPORTING LEAGUES LIMITED,12943776
ASCOT RACECOURSE BETTING & GAMING LIMITED,10732757
FIRSTPASTTHEPOST LIMITED,7069779
BEE-ETHICAL LTD.,9314392
GAME CHANGING MEDIA LIMITED,SC548044
THE OXFORD BINGO CLUB LIMITED,5520931
FANTASIFY LTD,15863561
ALFRED HAIG LIMITED,14971865
FUNWORLD LIMITED,1303203
SANGSTER CONSULTING LIMITED,11452280
SCOTT MAC MEDIA LTD,14232211
BETVICTOR ON COURSE LIMITED,3389407
HALL LEISURE LIMITED,2100957
BLACKJACK RACING LIMITED,5267191
BREAKOUT OPERATIONS LIMITED,2593339
BARNEY O'HARE LIMITED,NI683440
DALE JAMES (BOOKMAKERS) LIMITED,4126799
PUNTERS CORNER LTD,13792426
MARY ANN EVANS PROMOTIONS LIMITED,3289630
BETFAIR LIMITED,5140986
147 INVEST LTD,15871457
AVANGARD-GAMBLING LIMITED,15497119
PRIME COMPETITIONS LTD,15501872
SR7 COMPETITIONS LIMITED,15521374
C’MON COMPETITIONS LTD,SC800695
QUIDS IN COMPS LTD,15551642
CRUCIAL COMPETITIONS LTD,15558122
CASH CARS & LUCKY STARS LTD,NI704242
POL STEWART 001 LTD,SC788243
STREETBRIDGE RACING LTD,15263798
TR RACING (KENT) LIMITED,15267858
TIPWEB ANNE LIMITED,15430353
STARSEA EXPLORATIONS LIMITED,15440643
Q LOTTO UK LTD,SC796555
PRIZE OASIS LTD,15453654
FANDKCOMPETITIONS LTD,SC797736
SHOWSTOPPER GAMES LTD,15468685
WESTERN GAMING LIMITED,15475686
GAMBA SERVICES LTD,15238364
JP EXCLUSIVE LTD,15276569
NEXT GEN BET LTD,15277210
SB TRADING SOFTWARE LTD,15289242
TARGET COMPETITIONS LTD,15301920
THE RAFFLE CHAMP LTD,15335036
L&S COMPETITIONS LIMITED,SC800360
BESTONLINECASINOS LTD,15528780
MDRLW LTD,15547200
MAJESTIC TWELVE LIMITED,15560446
JOLLY VIP LOUNGE LTD,SC803130
KASHLUCK LTD,15456986
OS TECHNOLOGIES LIMITED,15461079
PHILIPPINES ASIA ATLANTIC LTD.,15317756
OPEN SMART GAMBLING TECHNOLOGY LTD,15326596
SCENARIO SEVEN GROUP LTD,15339874
FREE SIM LTD,15130816
LUX499 LTD,15157904
LUNÁRIQUE LTD,13828284
COUNTGRADE LIMITED,1162854
FIRST 1 CLUB LTD,7161683
ACADIAN LEISURE LIMITED,4852077
SANDTOP LTD,15881940
STARS GROUP UK2 LIMITED,11438433
KEVIN THOMAS & COMPANY LIMITED,2201692
RACE4POINTS LTD,14285594
RIGBY SPV LIMITED,11298597
SJRP INVESTMENTS 2023 LIMITED,15210039
RM ENTERTAINMENT LIMITED,15882363
ELEVEN ELEVEN GAMING LTD,11141083
GAMING CHANGERS LTD,8472546
P1 COMPETITIONS LTD,15906108
DJ & GC CAMM & SON (AMUSEMENTS) LTD,10107339
RSM GAMING CONCEPTS LTD,10917817
GR8ODDS LTD,6859906
BOYLE LEISURE LIMITED,NI041157
KITSUNE GAMING STUDIOS LTD,15909593
CAMELOT BUSINESS SOLUTIONS LIMITED,7553982
JLV INVESTMENTS LTD,10510945
BETAID ORG LTD,15914273
LOTEQ LTD,15914922
THE CLERMONT CLUB LIMITED,5878242
SOUTHPORT BRIDGE CLUB LIMITED(THE),699484
THE SPORTSMAN CLUB LIMITED,2685714
LONDON CLUBS SOUTHEND LIMITED,3575588
METROPOLITAN MAYFAIR LIMITED,2690210
BRANDLE'S AMUSEMENTS LIMITED,14301651
GENIUS SPORTS SERVICES LIMITED,10327058
CHESHIRE SPORTING CLUB LIMITED,4283699
SILVERTIME CASINOS LTD,11533494
ZEROMAX BET LTD,12629434
BEACON BINGO ENTERTAINMENT LIMITED,15424816
BETME LIMITED,10414305
PLAYTEK GAMING LIMITED,SC745310
J.E.M. AMUSEMENTS LIMITED,7519969
N E -BET.COM LIMITED,11327870
FIELDCO LTD,12256941
CJS LIFESTYLE LTD,13497785
PRIZE AND JOY LTD,12698204
POLARLOTTO LTD,13486987
CATS PROTECTION CARE LOTTERY LIMITED,12249371
BETFRED TECHNOLOGY LIMITED,10588330
LITTLE VEGAS (N.I.) LTD,NI614100
ORCADORK LTD,13499974
PLAYLAND AMUSEMENT CENTRES LIMITED,1923888
CRUCIBLE GAMING LTD,14159239
GRANDSTAND RACING LIMITED,9137252
VALLEY GREYHOUNDS LTD,14364459
MEERON LIMITED,3532120
THE NEW LOTTERY COMPANY LIMITED,12106979
THE HEALTH LOTTERY LIMITED,7111216
MONTAGU ADVISORY LTD,15809104
INSTANT WIN GAMING LIMITED,7852508
POSTCODE SUPPORT TRUST,SC510360
SWEET SENSATION (SCOTLAND) LIMITED,SC769303
WHITE CITY RACING LTD,15874550
GREEN BOOK TRADING LIMITED,11213446
FOOTBALLACCA LTD,8201121
LUXOR LEISURE LIMITED,4265419
EZE GAMING LIMITED,NI621824
NDH VENTURES LTD.,2716380
BETABLE LIMITED,7080629
BLIND TIGER GAMING LIMITED,10369331
IRELAND ENTERTAINMENTS LTD,SC778483
NATIONAL TRUST (ENTERPRISES) LIMITED (THE),1083105
J-CR LTD,12696054
AJH RACING LTD,14485552
ALFA PLAY LTD,14724128
AEONLINESTORE LTD,15895456
BETTERBETTING LTD,15895727
POSTCODE EDUCATION TRUST,SC513161
PAREL LIMITED,NI666843
SAINT CATHERINES HOSPICE LOTTERY LIMITED,3580724
CROWN BOOKMAKERS LIMITED,NI013919
VALERFINANCE LTD,15872997
UNIT ROAD CREATIVE LTD,SC818301
EP COMPS LTD,15812669
TOTE DIGITAL LIMITED,7727663
ELITE CASINO ACADEMY LIMITED,11445635
S D BETS LIMITED,7397630
M.S.L. LEISURE HOLDINGS LIMITED,1874130
CREVENT1 LTD,13806558
GOLDEN TICKET COMPETITIONS LTD,15809779
P&J DE VILLIERS LIMITED,11558192
TIPSTER 4U LIMITED,8385447
CORNISH COMPETITIONS LTD,15480772
CASINOS OF MAYFAIR INTERNATIONAL LTD,3204237
TOTE BOOKMAKERS LIMITED,852040
"INFINITE CORE TECHNOLOGIES CO., LTD.",15802242
ARCADIA AMUSEMENTS LTD,NI638321
COMMODORE LEISURE & ENTERTAINMENTS LIMITED,NI029956
DG SKYE LIMITED,NI615060
PB AMUSEMENTS LIMITED,NI606691
MBV INVESTMENTS LIMITED,NI606693
RANGERS LOTTERIES LIMITED,SC040034
TOTE (SUCCESSOR COMPANY) LIMITED,7540080
TOTE CREDIT LIMITED,574813
FITZDARES LIMITED,5478072
GAMSAVE LIMITED,15629116
BIG SMILE MEDIA LTD,SC699820
ZD TECH LTD,15848082
GOLDEN GOALS TECHNOLOGY LTD,14768597
WINSLOW TWO,6422133
SPORTS HUB GLOBAL LTD,15853997
12TH PLAYER LTD,12097242
ROSE AUTOMATICS LTD,10505482
TOGO BETTING LTD,14993523
GB AUTOMATICS LTD,10225233
DD COMPETITIONS LIMITED,SC747525
PHONE NUMBER LOTTERY LIMITED,10793555
CALVIN RACING & BETTING LIMITED,10087308
ALAN BUSHELL RACING LTD,11380050
GAMESYS GROUP LIMITED,10303804
DEMMY THE BOOKMAKER LIMITED,2785718
TOTE EUROPOOLS LIMITED,2629917
GIFTCIRCLE LIMITED,2652018
BEAUMONTIQUESRACING LTD,15775289
TOTESPORT LIMITED,5036314
TSE (INTERNATIONAL) LIMITED,5020953
ROCK N ROLL BINGO LTD,13945598
ERROLBROOK LIMITED,1772934
JEFFRIES ONLINE LTD,14346530
URMSTON AUTOMATICS LIMITED,1115623
CLIC SARGENT LOTTERY LIMITED,10791106
PHONETHREAD LIMITED,5417892
CAMEC (SCOTLAND) LIMITED,656636
CAMEC LIMITED,308820
TRACKCYCLE LIMITED,4180225
WILLIAM HILL (FOOTBALL) LIMITED,389219
WILLIAM HILL (ESSEX) LIMITED,1374068
UPSURGE INVESTMENT LTD,SC784441
CS RAFFLES LTD,15568230
FAMILY GUYS COMPETITION LIMITED,15594813
AIMTHEMILLIONSCG LTD,15378863
CYBERNEST VENTURES LTD,15419131
FAIRPLAYSBETTING LTD,15711829
CREST AMUSEMENTS LTD,15710835
FANTASIA TOYS & GAMES LIMITED,12270203
NFT LTD,12971263
THE RIDINGS (RACING) LIMITED,6620554
UNIDIPS LIMITED,14896776
H. BURT (RENTALS) LIMITED,755916
EAST KENT LEASING LIMITED,8281980
PREMIER PROMOTIONS LTD,NI690883
BETIZEN LIMITED,14103505
RAG TABLE GAMES LTD,7631973
CRAVEN SPORTS LIMITED,12606669
LETTINGS RAFFLE LTD,15713227
GENTING CASINOS UK LIMITED,1519689
POSTCODE SOCIETY TRUST,SC478727
BOWMAN LEISURE LIMITED,3000359
RALPH KEAST CONSULTANCY LIMITED,9344916
SEPTEMBER PINK LIMITED,7314343
TOTE UK INTERNATIONAL LIMITED,5147460
GAME STACK LTD,13784138
BIG GAME LIMITED,1499271
MB (NW) LTD,13734082
JACK CECIL LTD,8479006
NEEDNEUTRAL LIMITED,2027522
CASTILLO 1704 CONSULTANCY LIMITED,15799453
4HORSE RACING LTD,14925526
BET 247 LIMITED,630834
RACING WIN LIMITED,10204839
UK LOTTERY LTD,15798540
BITCOIN GIVEAWAY CLUB LTD,15797067
MONETARY CONSULTANCY 2.0 LTD,15795904
RANGERS FC YOUTH DEVELOPMENT COMPANY LIMITED,SC040033
HYDRO SOLUTIONS FYLDE LTD,9612888
TOTE LIMITED,4138232
THE BETTING EDGE LIMITED,15772341
OG SPORTS PARTNERSHIP LIMITED,13712982
HANLEY RACING LIMITED,1808272
TOTEPOOL LIMITED,5036312
A & R RACING LIMITED,3625512
RUBY COMPETITIONS LTD,NI716871
WILLIAM HILL (EDGEWARE ROAD) LIMITED,810023
ARENA RACING LIMITED,2933005
DARTLAKE LIMITED,2058980
WALLIS POWER SPORTS BETTING LTD,14871187
COPELAND ZAMORA ENTERPRISES LTD,10376538
SJRP INVESTMENTS LTD,8665151
BB EXPERIENCE LTD,SC813991
POSTCODE CULTURE TRUST,SC426288
HR MEXICO INVESTOR LIMITED,12051902
P & F GROUP LIMITED,NI645942
RUDE MEDIA LTD,NI691072
EUROPEAN BUSINESS CORPORATION LTD,7846256
AMATEUR POKER LIMITED,5612369
ALCHEMYBET LTD,7003018
GECKOTECH LTD,15812784
PUNT PREDICTIONS LTD,9750478
AVENUE SPORTING TECHNOLOGY LIMITED,15944711
NIGHTINGALE HOUSE LOTTERY LIMITED,3139714
BOYLE BOOKMAKERS LIMITED,NI040653
LEGENDERRY BINGO CIC,NI700028
ANETICO LIMITED,6860193
ZYPHERO LTD,15923428
MBC ELM LIMITED,SC513712
SUPERBIKERAFFLE.CO.UK LTD,11833079
ONLY FINS COMPETITIONS LTD,15951273
BETFACIL (UK) LTD.,10675554
GOLDEN SLOTS (SOUTHERN) LIMITED,9071108
TSE HOLDINGS LIMITED,5172296
HARRY'S AMUSEMENTS LIMITED,9444151
LADBROKES CORAL GROUP LIMITED,566221
SPORTING ODDS LIMITED,3655231
BETWIZ SPORTS LTD,8737243
CARLTONBINGO.COM LIMITED,SC310500
CITIBET LTD,14546746
CITIBET EXCHANGE LTD,14584818
IGT (UK 1) LIMITED,4839179
BRIAN EDWARD LIMITED,3708257
COMPTON CARE LOTTERY LIMITED,3188860
GOLDEN CHANCES CIC,15931420
BET366 LTD,14254302
COMPETEEAZY LTD,15102888
AMERICAN SPORTS UK TRADING LTD,15181433
BULLFROG MEDIA LTD,16006303
"HORSE RACING HERO TECHNOLOGY CO., LTD.",16005135
STEALTH LEISURE LIMITED,3204595
AMLIND (UK) LIMITED,3873661
LEAGUENOTION,2540173
BOYLESPORTS (NI) LIMITED,NI041573
FASTBALL PARENT 3 LIMITED,13093828
PLUTO POKER LTD,14560483
OASIS FAMILY LEISURE LIMITED,5076791
STARDUST LEISURE (2000) LIMITED,4078029
METRIC TRADING LIMITED,12432917
BET PIGEON 24/7 LTD,NI722767
BET ESSEX (UK) LTD,7879923
FIELDGATE SOLUTIONS LTD,8405276
GOTTO LIMITED,6033820
AMAZINGPRIZECOMPETITIONS LTD,15247249
BALEDAY LTD,7443123
CASHINO GAMING (E&J) LIMITED,2147788
MERKUR CASINO ENTERTAINMENT UK LIMITED,14838870
MJM COMPETITIONS LTD,15165170
THE WIDDERS LITTLE PUB LIMITED,13274021
MONEY SLOT LIMITED,16009930
UNITED LEISURE LIMITED,971618
QUALA LTD,14602975
RAL LIMITED,1940045
BRADLEY ALLEN LTD,15237658
LES AMBASSADEURS CLUB LIMITED,2708889
ASTIC LIMITED,4350735
BONANZA GAMING LIMITED,12430067
INSPIRED GAMING (UK) LIMITED,3565640
CARPBOND LIMITED,6731611
JACKPOT HOLDINGS LIMITED,16017588
CHISHOLM BOOKMAKERS LIMITED,1985613
MAXIBET UK LIMITED,14635735
NEXSTAR LIMITED,8055217
DAC SPORTS CONSULTANTS LTD,12403051
SPORTITO LIMITED,11910753
NAUGHTON-ALLEN CONSULTANTS LTD,7746608
KEMPTON PARK RACECOURSE COMPANY LIMITED(THE),901125
TACARA LIMITED,4729148
LIFEWAVE LIMITED,4081423
STANLEY SYKES LTD,8863103
HALLSPORTS LIMITED,1977309
STATE CASINO (NORTH WEST) LIMITED,7106940
THE QUIZ MACHINE COMPANY LIMITED,11732462
ST. KENTIGERN PROMOTIONS LIMITED,3265191
SAWYER BROS. (BOOKMAKERS) LIMITED,3700893
THE GOLF LOTTERY LIMITED,13319071
POSTCODE PLANET TRUST,SC476386
POSTCODE NEIGHBOURHOOD TRUST,SC623059
POSTCODE PLACES TRUST,SC623202
DAVE BOWE LIMITED,3916923
RANDOM MZ SOLUTIONS LTD,15006218
WECLEANEDUP LTD,15001932
BRADDICKS LEISURE LIMITED,894651
MATCH IT SPORTS LTD,14850506
MUSTARD STRATEGIES LIMITED,8893013
CLEARWATER CASINO CONSULTANCY LIMITED,3710609
WIN 12 MONTHS,8501173
4CASTSPORT.COM LIMITED,4906081
BRIGHTON PALACE PIER (ASSETS) LIMITED,10082743
LEM PAY LTD,15996215
SEVERN PROMOTIONS COMPANY LIMITED,2973920
RNIB DIRECT SERVICES LOTTERY LIMITED,10907799
AKINS AUTOMATICS COMPANY LIMITED,662186
VSERV (UK) LIMITED,5220369
SHOP@THESHIP LTD,12183399
SDUNN CONSULTING LIMITED,14526939
DEADHEAT RACING LIMITED,8016564
CRACKERJACKPOT LIMITED,8221671
AMUSEMENT CATERERS (SHEFFIELD) LIMITED,788525
BOYLEBET LIMITED,NI041164
TUCKWELL CHASE LOTTERY LIMITED,3508815
MARITIME GAMING LTD,15047368
NOVUS BC LIMITED,7043047
OFF COURSE BOOKMAKERS LIMITED,1987776
VERITAS BETTING AND GAMBLING LIMITED,11177465
MWO CONSULTING LTD,14507480
K & J LEISURE LIMITED,4415776
EUROPEAN HOUSE LOTTERY LTD,12643436
JUNGLE X UK LTD.,8431063
FULL GAMING MANAGEMENT SERVICES LIMITED,8354998
WOODLAND TRUST (ENTERPRISES) LIMITED,2296645
LEISURE ENTERTAINMENT HOLDERS LIMITED,7068247
YORKBET LTD,11614368
CASH ONLY RAFFLES LTD,14620151
ACN - ALL THE CARE YOU NEED LTD,11745274
IHRT LIMITED,13137315
SKILLBET LTD,10608134
SKILLBET ON COURSE LTD,13749946
FLICKER LIMITED,SC769234
SHIPLEY & SONS (AMUSEMENTS) LIMITED,685732
THE PETER FOSTER COMPANY LIMITED,14938600
TBDUK LIMITED,11417234
CADMANS LEISURE CENTRES LIMITED,1555323
CARIBBEAN HOUSE LOTTERY LTD,14941167
F.NEW (TURF ACCOUNTANT) LIMITED,739605
LORDS CLUSTER LTD,15318806
RAFFLE ROULETTE UK LTD,13047274
FOOTBALL LOTTERY FOUNDATION LIMITED,13126015
CRASHUSDT LTD,16052283
CASTLE SPORTING SERVICES LTD.,2486630
INVICTA COIN SERVICES LIMITED,1829670
BGXUK LIMITED,14499795
BRANDFORCE MARKETING LTD.,5277863
ELITE PLAYER MANAGEMENT LTD,16099063
SHOPABUDDY LTD,16098261
GEODORHEN ENTERTAINMENT LIMITED,15191882
BETBILLY LTD,13800428
SHREWD SPORTS LIMITED,NI677913
ANTIMIMIK FILM LTD,16054868
PHOTON GAMING SOLUTIONS LTD,16049172
BETZONE LTD,12976148
JOHN CONRAD LTD,16062477
APOLLO BOOKMAKERS LIMITED,7325710
THE CORN LAW LEISURE GROUP LIMITED,14605645
EXCELBET LIMITED,7833393
PADDY CAMPBELL RACING LIMITED,3851760
BET WITH SHERLOCK LIMITED,10606168
TWLG LTD,16064044
POSTCODE RAFFLES LTD,15411169
THRONKER LTD,9941791
KM RFG LTD,15241351
ELITEBET88 LTD,15566753
ROAR BETTING UK LIMITED,5746823
KE ENTERTAINMENTS LIMITED,SC154193
ROBMARWIN LIMITED,16073713
CRAZY CAT COMPS LTD,16073879
E. COOMES (SOUTH LONDON) LIMITED,963946
ATTICA GAMBLING LIMITED,7890260
LILLYWHITE RACING LIMITED,4373468
GOLDRUSH PORTRUSH LIMITED,NI656802
ENTERTAINMENT SERVICES (NORTHERN) LTD,7111082
MISTERTIPSTER LTD,16083848
QWEST GAMING LTD,14667577
ST. BRIDGET'S COMMUNITY BINGO LTD,NI647749
MERKUR BINGO AND CASINO ENTERTAINMENT UK LIMITED,2095117
WORLDPLAY SOLUTIONS LIMITED,15286763
TREATVIEW LIMITED,1755525
BIDAQUID LTD,10646812
PAH LOTTERY LIMITED,3347939
W COMPETITIONS LTD,15635842
NORTH EAST HOSPICES LOTTERY LIMITED,3540674
FUNGHIBONUS LTD,14708537
ELEVEN HOUR LTD,16107226
AIR AMBULANCE PROMOTIONS LIMITED,2674568
SP GRAHAM SERVICES LTD.,NI621183
CASHDOWN RACING LIMITED,4593589
ARENA BINGO LTD,11679550
BETWBA LIMITED,16110526
CASH FALL AMUSEMENTS LIMITED,8385442
TERMINUS PLATFORM UK LIMITED,14798127
PINNINGTON LIMITED,9708945
TWELVTH LIMITED,15648632
UNIVERSAL COMPETITIONS LTD,14960076
GREENWICH & BEXLEY COMMUNITY HOSPICE LOTTERY LIMITED,6483768
WPREDICT LIMITED,16115333
RAFFLE ROCKET UK LTD,14016129
LOST LEISURE 1 LIMITED,6173763
365 GAMING LIMITED,13888282
MOBILE GAMING LIMITED,13899127
THE RACING API LTD,14383781
CALIFORNIA KETCHAPP COMPANY LIMITED,12564942
W. BODEN & CO. LTD.,729685
W.M.T.ENTERTAINMENTS LIMITED,701174
GEORGE WILKIE & COMPANY (WALLASEY) LIMITED,343829
EUROPEAN LOTTERY COMPANY LIMITED,15202157
BLUE SKIRMISH LTD,14758348
TOP KUTS LIMITED,SC769233
YOU BEAUTY (SCOTLAND) LIMITED,SC769309
EMPIRE FUN LIMITED,10529392
RANK INTERACTIVE LIMITED,10707265
CROWN LOTTERY LTD,7616014
WESTWAY BINGO LIMITED,NI602354
NEWAR LIMITED,7224009
FALCOMBE TRADING NO. 2 LIMITED,7230771
CLUB3000 LEISURE LTD,6508518
MIDNIGHT GAMING LIMITED,8489885
ACE ELECTRA (PETERBOROUGH) LIMITED,8568215
SPANKTHEBOOKIES LIMITED,8906344
BET 21 LIMITED,9368918
CHIP STOP WV4 LIMITED,10475332
JIM CLARKE (DORSET) LTD.,10460678
P.P. LEISURE ACTIVITIES LIMITED,1226990
WHITE LEISURE LIMITED,1748245
STAR SPORTS RETAIL LIMITED,1873919
MACE-LAYTON RACING LIMITED,1898588
JEFF MABEY LIMITED,2145032
SANDY RACING LIMITED,3667932
RANK DIGITAL LIMITED,3796653
SUMMIT LEISURE (DEANSGATE) LIMITED,2581189
GRAHAM MACE LIMITED,911428
PLAZA LEISURE DANCE LIMITED,1075390
MACE RACING SERVICES LIMITED,1146712
REEL GAMES LIMITED,3020481
MAINWARING SYSTEMS LIMITED,3054215
THE PUNTER LIMITED,3903207
E-TOTE LIMITED,3909522
POWERBET LIMITED,6849960
GROSVENOR CASINOS (GC) LIMITED,8306157
YOUNG DIXIES LIMITED,6748386
ISLAND TO ISLAND MANAGEMENT LIMITED,6811796
GR RACING LIMITED,7494308
SPORTSBOOK LIMITED,6235175
